ID_Obat;Nama_Obat;Kategori;Indikasi;Kontraindikasi;Dosis_Dewasa;Dosis_Anak;Bentuk_Sediaan;Kandungan;Efek_Samping;Interaksi;Peringatan;Harga;Ketersediaan;Produsen;No_BPOM;Golongan;Resep;Rating
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
OS001;Oskadon;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;"Hipersensitivitas, penyakit hati berat
Hipersensitivitas, gangguan hati";2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 500mg, Caffeine 35mg;Mual, pusing, gangguan tidur;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan;Rp2.000;Tersedia;PT Tempo Scan Pacific;DBL7621234584;Bebas;Tidak;5
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PR001;Proris;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, asma;400mg, 3x sehari;200mg, 3x sehari;Tablet;Ibuprofen 200mg;Mual, sakit perut, pusing;Aspirin, antikoagulan;Hindari konsumsi jangka panjang;Rp8.000;Tersedia;PT Pharos;DBL7621234581;Bebas Terbatas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PR001;Proris;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, asma;400mg, 3x sehari;200mg, 3x sehari;Tablet;Ibuprofen 200mg;Mual, sakit perut, pusing;Aspirin, antikoagulan;Hindari konsumsi jangka panjang;Rp8.000;Tersedia;PT Pharos;DBL7621234581;Bebas Terbatas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
OS001;Oskadon;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;"Hipersensitivitas, penyakit hati berat
Hipersensitivitas, gangguan hati";2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 500mg, Caffeine 35mg;Mual, pusing, gangguan tidur;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan;Rp2.000;Tersedia;PT Tempo Scan Pacific;DBL7621234584;Bebas;Tidak;5
OS001;Oskadon;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, penyakit hati berat Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 500mg, Caffeine 35mg;Mual, pusing, gangguan tidur;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan;Rp2.000;Tersedia;PT Tempo Scan Pacific;DBL7621234584;Bebas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
OS001;Oskadon;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;"Hipersensitivitas, penyakit hati berat
Hipersensitivitas, gangguan hati";2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 500mg, Caffeine 35mg;Mual, pusing, gangguan tidur;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan;Rp2.000;Tersedia;PT Tempo Scan Pacific;DBL7621234584;Bebas;Tidak;5
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PR001;Proris;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, asma;400mg, 3x sehari;200mg, 3x sehari;Tablet;Ibuprofen 200mg;Mual, sakit perut, pusing;Aspirin, antikoagulan;Hindari konsumsi jangka panjang;Rp8.000;Tersedia;PT Pharos;DBL7621234581;Bebas Terbatas;Tidak;4
PR001;Proris;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, asma;400mg, 3x sehari;200mg, 3x sehari;Tablet;Ibuprofen 200mg;Mual, sakit perut, pusing;Aspirin, antikoagulan;Hindari konsumsi jangka panjang;Rp8.000;Tersedia;PT Pharos;DBL7621234581;Bebas Terbatas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
OS001;Oskadon;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;"Hipersensitivitas, penyakit hati berat
Hipersensitivitas, gangguan hati";2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 500mg, Caffeine 35mg;Mual, pusing, gangguan tidur;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan;Rp2.000;Tersedia;PT Tempo Scan Pacific;DBL7621234584;Bebas;Tidak;5
PR001;Proris;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, asma;400mg, 3x sehari;200mg, 3x sehari;Tablet;Ibuprofen 200mg;Mual, sakit perut, pusing;Aspirin, antikoagulan;Hindari konsumsi jangka panjang;Rp8.000;Tersedia;PT Pharos;DBL7621234581;Bebas Terbatas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
GAS001;Antasid;Antasida;Menetralkan asam lambung, mengurangi gejala maag dan heartburn;Hipersensitivitas terhadap komponen obat;1-2 tablet, 3-4 kali sehari;½ tablet untuk anak >6 tahun, 3 kali sehari;Tablet kunyah, Suspensi;Magnesium Hidroksida, Aluminium Hidroksida;Konstipasi, mulut kering, mual;Jarak minimal 2 jam dengan obat lain;Tidak untuk penggunaan jangka panjang;Rp15.000;Tersedia;PT. Kimia Farma;DBL7821234567;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS008;Gastrucid;Antasida;Sakit maag, kembung;Hipersensitivitas;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak;Tablet kunyah;Mg(OH)2, Al(OH)3;Konstipasi, mual ringan;Jarak minimal 2 jam dengan obat lain;Kunyah tablet sebelum ditelan;Rp14.000;Tersedia;Medifarma;DBL7821234574;Obat Bebas;Tidak;4
GAS007;Polysilane;Antasida;Maag, kembung, mual;Hipersensitivitas;15ml, 3 kali sehari;5-10ml untuk anak >6 tahun;Suspensi;Dimethylpolysiloxane, Al(OH)3;Konstipasi ringan;Dapat menurunkan absorpsi obat lain;Hindari penggunaan jangka panjang;Rp16.500;Tersedia;Pharos Indonesia;DBL7821234573;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS003;Omeprazole Generic;Proton Pump Inhibitor;Mengurangi produksi asam lambung, GERD, tukak lambung;Hipersensitivitas terhadap omeprazole;20mg sekali sehari;Dosis disesuaikan dengan berat badan;Kapsul;Omeprazole 20mg;Sakit kepala, diare, mual, ruam kulit;Interaksi dengan warfarin dan clopidogrel;Hanya gunakan sesuai resep dokter;Rp25.000;Tersedia;Dexa Medica;DBL7821234569;Obat Keras;Ya;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS003;Omeprazole Generic;Proton Pump Inhibitor;Mengurangi produksi asam lambung, GERD, tukak lambung;Hipersensitivitas terhadap omeprazole;20mg sekali sehari;Dosis disesuaikan dengan berat badan;Kapsul;Omeprazole 20mg;Sakit kepala, diare, mual, ruam kulit;Interaksi dengan warfarin dan clopidogrel;Hanya gunakan sesuai resep dokter;Rp25.000;Tersedia;Dexa Medica;DBL7821234569;Obat Keras;Ya;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS009;vodrexin;Antasida Kombinasi;Maag, kembung, mual;Hipersensitivitas, gangguan ginjal;1 tablet, 3 kali sehari;Tidak untuk anak <12 tahun;Tablet;Simetikon, Al(OH)3, Mg(OH)2;Konstipasi, mulut kering;Interaksi dengan beberapa antibiotik;Diminum setelah makan;Rp17.500;Tersedia;Ifars Pharmaceutical;DBL7821234575;Obat Bebas;Tidak;3
GAS010;Syr sucralfate;Pelindung Mukosa;Tukak lambung, gastritis;Hipersensitivitas;10ml, 4 kali sehari;5ml untuk anak >15 tahun;Sirup;Sucralfate 500mg/5ml;Konstipasi, mual;Kurangi absorpsi obat lain;Kocok sebelum diminum;Rp32.000;Tersedia;Soho Industri Pharmasi;DBL7821234576;Obat Keras;Ya;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS006;Mylanta;Antasida;Kembung, maag, nyeri ulu hati;Hipersensitivitas;15-30ml, 3-4 kali sehari;5-15ml untuk anak >6 tahun;Suspensi;Al(OH)3, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Jarak 2 jam dengan obat lain;Kocok dahulu sebelum diminum;Rp18.000;Tersedia;Johnson & Johnson;DBL7821234572;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS003;Omeprazole Generic;Proton Pump Inhibitor;Mengurangi produksi asam lambung, GERD, tukak lambung;Hipersensitivitas terhadap omeprazole;20mg sekali sehari;Dosis disesuaikan dengan berat badan;Kapsul;Omeprazole 20mg;Sakit kepala, diare, mual, ruam kulit;Interaksi dengan warfarin dan clopidogrel;Hanya gunakan sesuai resep dokter;Rp25.000;Tersedia;Dexa Medica;DBL7821234569;Obat Keras;Ya;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS003;Omeprazole Generic;Proton Pump Inhibitor;Mengurangi produksi asam lambung, GERD, tukak lambung;Hipersensitivitas terhadap omeprazole;20mg sekali sehari;Dosis disesuaikan dengan berat badan;Kapsul;Omeprazole 20mg;Sakit kepala, diare, mual, ruam kulit;Interaksi dengan warfarin dan clopidogrel;Hanya gunakan sesuai resep dokter;Rp25.000;Tersedia;Dexa Medica;DBL7821234569;Obat Keras;Ya;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
GAS002;Promag;Antasida;Mengatasi maag, kembung, dan nyeri lambung;Hipersensitivitas, gangguan ginjal berat;1-2 tablet, 3 kali sehari;Tidak direkomendasikan untuk anak <12 tahun;Tablet kunyah;Hydrotalcite, Mg(OH)2, Simethicone;Diare, konstipasi ringan;Hindari penggunaan dengan antibiotik tetrasiklin;Konsultasi dokter jika gejala berlanjut;Rp12.500;Tersedia;Kalbe Farma;DBL7821234568;Obat Bebas;Tidak;4
